period_type,start_date,end_date,score_date,weekday,suitability_rank,capacity,fiscal,air_quality,weather,energy,suitability,expected_days,occupancy_days,fiscal_days,air_days,weather_days,energy_days,score_status
week,2025-08-18,2025-08-24,,,36,17.59,54.24,37.25,67.45,60.85,44.19,7,7,7,7,7,7,Calculated
week,2025-01-20,2025-01-26,,,37,73.52,7.65,49.57,34.81,53.01,43.39,7,7,7,7,7,7,Calculated
week,2025-11-17,2025-11-23,,,38,60.74,14.97,25.67,74.68,48.02,42.35,7,7,7,7,7,7,Calculated
week,2025-01-06,2025-01-12,,,39,83.53,10.51,31.34,35.36,37.36,42.35,7,7,7,7,7,7,Calculated
week,2025-10-13,2025-10-19,,,40,46.32,29.41,66.81,46.55,40.62,42.18,7,7,7,7,7,7,Calculated
week,2025-10-20,2025-10-26,,,41,38.59,8.28,43.59,86.83,71.53,41.41,7,7,7,7,7,7,Calculated
week,2025-09-01,2025-09-07,,,42,20.86,55.80,18.27,54.54,53.48,40.98,7,7,7,7,7,7,Calculated
week,2025-12-01,2025-12-07,,,43,65.96,3.99,76.92,85.70,12.42,39.73,7,7,7,7,7,7,Calculated
week,2025-12-08,2025-12-14,,,44,54.92,9.67,39.51,57.95,46.86,38.50,7,7,7,7,7,7,Calculated
week,2025-11-10,2025-11-16,,,45,65.35,11.88,61.53,18.98,33.30,37.88,7,7,7,7,7,7,Calculated
week,2025-03-17,2025-03-23,,,46,38.12,48.16,31.84,20.17,31.95,37.48,7,7,7,7,7,7,Calculated
week,2025-01-27,2025-02-02,,,47,58.19,4.01,61.63,78.13,10.59,34.76,7,7,7,7,7,7,Calculated
week,2025-11-24,2025-11-30,,,48,58.26,0.00,33.17,34.54,49.17,34.09,7,7,7,7,7,7,Calculated
week,2025-02-03,2025-02-09,,,49,56.28,19.67,15.28,23.33,34.90,33.63,7,7,7,7,7,7,Calculated
week,2025-02-17,2025-02-23,,,50,45.22,19.36,56.76,44.87,17.33,33.00,7,7,7,7,7,7,Calculated
week,2025-02-10,2025-02-16,,,51,46.18,24.11,55.24,35.58,12.75,32.72,7,7,7,7,7,7,Calculated
