period_type,start_date,end_date,score_date,weekday,suitability_rank,capacity,fiscal,air_quality,weather,energy,suitability,expected_days,occupancy_days,fiscal_days,air_days,weather_days,energy_days,score_status
day,2025-11-26,2025-11-26,2025-11-26,Wednesday,56,73.80,70.11,59.80,51.57,44.01,63.11,1,1,1,1,1,1,Calculated
day,2025-11-09,2025-11-09,2025-11-09,Sunday,57,55.27,63.79,58.56,56.20,79.21,63.04,1,1,1,1,1,1,Calculated
day,2025-01-10,2025-01-10,2025-01-10,Friday,58,78.40,83.45,67.65,29.02,23.46,62.92,1,1,1,1,1,1,Calculated
day,2025-12-25,2025-12-25,2025-12-25,Thursday,59,78.77,68.15,60.36,49.13,38.06,62.63,1,1,1,1,1,1,Calculated
day,2025-12-31,2025-12-31,2025-12-31,Wednesday,60,56.54,76.28,65.92,40.07,60.63,62.57,1,1,1,1,1,1,Calculated
day,2025-01-21,2025-01-21,2025-01-21,Tuesday,61,65.93,70.84,60.12,16.38,69.18,62.52,1,1,1,1,1,1,Calculated
day,2025-01-23,2025-01-23,2025-01-23,Thursday,62,68.91,82.89,45.26,29.45,47.28,62.47,1,1,1,1,1,1,Calculated
day,2025-01-20,2025-01-20,2025-01-20,Monday,63,73.65,83.69,54.36,12.29,42.98,62.46,1,1,1,1,1,1,Calculated
day,2025-01-30,2025-01-30,2025-01-30,Thursday,64,62.02,85.09,39.83,45.23,48.67,62.38,1,1,1,1,1,1,Calculated
day,2025-10-08,2025-10-08,2025-10-08,Wednesday,65,72.89,71.65,41.81,60.74,43.78,62.37,1,1,1,1,1,1,Calculated
day,2025-02-17,2025-02-17,2025-02-17,Monday,66,55.66,67.05,66.12,40.42,74.21,62.31,1,1,1,1,1,1,Calculated
day,2025-02-03,2025-02-03,2025-02-03,Monday,67,63.75,81.96,58.73,11.19,57.82,62.27,1,1,1,1,1,1,Calculated
day,2025-02-25,2025-02-25,2025-02-25,Tuesday,68,66.70,75.81,41.15,46.39,53.57,62.22,1,1,1,1,1,1,Calculated
day,2025-10-07,2025-10-07,2025-10-07,Tuesday,69,60.86,62.21,62.51,64.52,62.37,62.10,1,1,1,1,1,1,Calculated
day,2025-03-01,2025-03-01,2025-03-01,Saturday,70,60.24,48.64,65.25,62.31,81.94,61.81,1,1,1,1,1,1,Calculated
day,2025-02-07,2025-02-07,2025-02-07,Friday,71,59.94,68.18,43.66,22.95,83.46,61.79,1,1,1,1,1,1,Calculated
day,2025-02-22,2025-02-22,2025-02-22,Saturday,72,60.79,72.34,75.47,47.46,47.58,61.75,1,1,1,1,1,1,Calculated
day,2025-01-13,2025-01-13,2025-01-13,Monday,73,75.17,78.94,46.28,46.82,30.83,61.71,1,1,1,1,1,1,Calculated
day,2025-11-10,2025-11-10,2025-11-10,Monday,74,65.89,61.89,52.08,22.63,78.77,61.56,1,1,1,1,1,1,Calculated
day,2025-03-06,2025-03-06,2025-03-06,Thursday,75,64.18,68.77,60.23,62.50,46.68,61.50,1,1,1,1,1,1,Calculated
day,2025-10-25,2025-10-25,2025-10-25,Saturday,76,44.08,60.40,61.56,69.95,84.47,61.39,1,1,1,1,1,1,Calculated
day,2025-02-27,2025-02-27,2025-02-27,Thursday,77,66.94,64.63,69.56,49.01,50.11,61.35,1,1,1,1,1,1,Calculated
day,2025-01-12,2025-01-12,2025-01-12,Sunday,78,60.06,77.08,55.05,21.99,61.79,61.20,1,1,1,1,1,1,Calculated
day,2025-01-24,2025-01-24,2025-01-24,Friday,79,64.61,79.44,46.35,62.72,34.80,61.08,1,1,1,1,1,1,Calculated
day,2025-10-27,2025-10-27,2025-10-27,Monday,80,58.61,61.79,53.97,62.41,66.47,61.05,1,1,1,1,1,1,Calculated
day,2025-10-16,2025-10-16,2025-10-16,Thursday,81,60.61,72.46,46.62,46.55,57.04,60.65,1,1,1,1,1,1,Calculated
day,2025-10-31,2025-10-31,2025-10-31,Friday,82,76.02,67.22,32.41,42.01,50.43,60.50,1,1,1,1,1,1,Calculated
day,2025-11-21,2025-11-21,2025-11-21,Friday,83,69.41,74.28,48.23,32.34,46.04,60.37,1,1,1,1,1,1,Calculated
day,2025-09-24,2025-09-24,2025-09-24,Wednesday,84,48.79,59.47,52.47,64.31,80.17,60.19,1,1,1,1,1,1,Calculated
day,2025-12-09,2025-12-09,2025-12-09,Tuesday,85,43.94,73.30,51.67,54.23,72.11,60.18,1,1,1,1,1,1,Calculated
day,2025-02-10,2025-02-10,2025-02-10,Monday,86,56.92,78.66,61.00,66.65,33.43,60.12,1,1,1,1,1,1,Calculated
day,2025-02-05,2025-02-05,2025-02-05,Wednesday,87,73.07,72.25,48.35,39.26,38.48,60.05,1,1,1,1,1,1,Calculated
day,2025-11-14,2025-11-14,2025-11-14,Friday,88,75.62,86.66,66.69,17.10,14.64,59.99,1,1,1,1,1,1,Calculated
day,2025-12-11,2025-12-11,2025-12-11,Thursday,89,64.62,82.09,40.65,37.20,40.96,59.99,1,1,1,1,1,1,Calculated
day,2025-12-27,2025-12-27,2025-12-27,Saturday,90,56.43,67.67,45.20,51.01,63.85,59.62,1,1,1,1,1,1,Calculated
day,2025-01-17,2025-01-17,2025-01-17,Friday,91,72.89,67.63,70.46,15.14,43.95,59.51,1,1,1,1,1,1,Calculated
day,2025-03-05,2025-03-05,2025-03-05,Wednesday,92,59.56,74.52,45.30,56.82,45.17,59.47,1,1,1,1,1,1,Calculated
day,2025-10-11,2025-10-11,2025-10-11,Saturday,93,58.30,66.14,53.18,36.80,64.68,59.27,1,1,1,1,1,1,Calculated
day,2025-03-18,2025-03-18,2025-03-18,Tuesday,94,60.30,67.18,48.43,54.05,52.58,59.01,1,1,1,1,1,1,Calculated
day,2025-09-25,2025-09-25,2025-09-25,Thursday,95,68.81,53.70,40.86,56.05,61.49,58.74,1,1,1,1,1,1,Calculated
day,2025-12-16,2025-12-16,2025-12-16,Tuesday,96,65.60,79.83,56.61,36.02,29.22,58.74,1,1,1,1,1,1,Calculated
day,2025-02-28,2025-02-28,2025-02-28,Friday,97,83.91,61.65,38.22,21.50,45.10,58.66,1,1,1,1,1,1,Calculated
day,2025-10-05,2025-10-05,2025-10-05,Sunday,98,55.14,52.97,60.14,48.88,76.59,58.65,1,1,1,1,1,1,Calculated
day,2025-10-01,2025-10-01,2025-10-01,Wednesday,99,56.58,63.61,72.50,57.70,47.77,58.63,1,1,1,1,1,1,Calculated
day,2025-03-13,2025-03-13,2025-03-13,Thursday,100,56.34,73.48,51.83,52.15,46.34,58.61,1,1,1,1,1,1,Calculated
day,2025-10-19,2025-10-19,2025-10-19,Sunday,101,60.57,41.72,59.10,78.56,70.34,58.52,1,1,1,1,1,1,Calculated
day,2025-10-09,2025-10-09,2025-10-09,Thursday,102,52.29,67.75,58.03,70.69,47.91,58.47,1,1,1,1,1,1,Calculated
day,2025-02-24,2025-02-24,2025-02-24,Monday,103,55.54,67.68,51.71,47.93,57.40,58.41,1,1,1,1,1,1,Calculated
day,2025-03-15,2025-03-15,2025-03-15,Saturday,104,42.20,48.49,45.79,65.76,100.00,58.36,1,1,1,1,1,1,Calculated
day,2025-02-14,2025-02-14,2025-02-14,Friday,105,56.01,62.10,67.76,31.12,64.57,58.24,1,1,1,1,1,1,Calculated
day,2025-01-07,2025-01-07,2025-01-07,Tuesday,106,73.42,65.41,43.36,58.14,31.84,58.17,1,1,1,1,1,1,Calculated
day,2025-04-15,2025-04-15,2025-04-15,Tuesday,107,49.77,58.18,65.71,32.92,78.60,57.96,1,1,1,1,1,1,Calculated
day,2025-05-22,2025-05-22,2025-05-22,Thursday,108,51.64,59.34,58.99,66.21,60.52,57.92,1,1,1,1,1,1,Calculated
day,2025-03-26,2025-03-26,2025-03-26,Wednesday,109,59.80,65.81,54.53,54.65,46.49,57.90,1,1,1,1,1,1,Calculated
day,2025-06-18,2025-06-18,2025-06-18,Wednesday,110,52.86,44.75,64.72,39.53,90.80,57.87,1,1,1,1,1,1,Calculated
day,2025-10-17,2025-10-17,2025-10-17,Friday,111,59.95,74.08,48.05,40.13,43.95,57.82,1,1,1,1,1,1,Calculated
day,2025-11-15,2025-11-15,2025-11-15,Saturday,112,57.09,63.61,72.33,37.69,52.46,57.70,1,1,1,1,1,1,Calculated
day,2025-02-04,2025-02-04,2025-02-04,Tuesday,113,68.62,66.00,37.92,48.33,42.15,57.44,1,1,1,1,1,1,Calculated
day,2025-04-07,2025-04-07,2025-04-07,Monday,114,57.57,66.72,57.43,41.49,50.79,57.33,1,1,1,1,1,1,Calculated
day,2025-11-03,2025-11-03,2025-11-03,Monday,115,61.68,59.33,45.89,69.43,47.06,57.24,1,1,1,1,1,1,Calculated
day,2025-01-03,2025-01-03,2025-01-03,Friday,116,67.91,67.43,45.30,59.81,30.39,57.19,1,1,1,1,1,1,Calculated
day,2025-10-14,2025-10-14,2025-10-14,Tuesday,117,53.23,65.68,76.59,21.95,57.92,57.11,1,1,1,1,1,1,Calculated
day,2025-11-23,2025-11-23,2025-11-23,Sunday,118,62.63,74.36,36.04,47.19,37.44,56.91,1,1,1,1,1,1,Calculated
day,2025-10-20,2025-10-20,2025-10-20,Monday,119,53.46,68.44,47.35,42.92,56.37,56.87,1,1,1,1,1,1,Calculated
day,2025-01-04,2025-01-04,2025-01-04,Saturday,120,64.89,67.35,58.16,37.28,37.96,56.81,1,1,1,1,1,1,Calculated
day,2025-01-09,2025-01-09,2025-01-09,Thursday,121,74.80,71.08,55.93,24.06,25.01,56.76,1,1,1,1,1,1,Calculated
day,2025-02-13,2025-02-13,2025-02-13,Thursday,122,67.76,59.11,61.10,47.38,39.17,56.74,1,1,1,1,1,1,Calculated
day,2025-01-18,2025-01-18,2025-01-18,Saturday,123,52.36,58.94,61.56,43.72,63.68,56.65,1,1,1,1,1,1,Calculated
day,2025-02-06,2025-02-06,2025-02-06,Thursday,124,64.06,69.56,22.61,39.86,51.27,56.59,1,1,1,1,1,1,Calculated
day,2025-08-19,2025-08-19,2025-08-19,Tuesday,125,52.46,71.44,57.15,45.72,45.58,56.57,1,1,1,1,1,1,Calculated
day,2025-01-11,2025-01-11,2025-01-11,Saturday,126,60.67,64.81,37.46,42.52,54.45,56.53,1,1,1,1,1,1,Calculated
day,2025-09-09,2025-09-09,2025-09-09,Tuesday,127,53.43,74.70,36.63,14.87,64.29,56.45,1,1,1,1,1,1,Calculated
day,2025-12-21,2025-12-21,2025-12-21,Sunday,128,72.65,60.94,50.56,27.08,42.55,56.35,1,1,1,1,1,1,Calculated
day,2025-06-13,2025-06-13,2025-06-13,Friday,129,47.04,42.38,67.12,34.97,95.99,56.23,1,1,1,1,1,1,Calculated
day,2025-09-18,2025-09-18,2025-09-18,Thursday,130,46.51,60.80,53.89,38.12,73.67,56.13,1,1,1,1,1,1,Calculated
day,2025-10-30,2025-10-30,2025-10-30,Thursday,131,56.45,63.75,56.69,30.38,56.68,56.10,1,1,1,1,1,1,Calculated
day,2025-02-01,2025-02-01,2025-02-01,Saturday,132,58.20,64.48,50.30,66.05,38.10,56.06,1,1,1,1,1,1,Calculated
day,2025-01-19,2025-01-19,2025-01-19,Sunday,133,59.23,74.40,51.94,39.98,33.57,55.99,1,1,1,1,1,1,Calculated
day,2025-10-21,2025-10-21,2025-10-21,Tuesday,134,59.16,83.45,45.64,41.18,21.88,55.84,1,1,1,1,1,1,Calculated
day,2025-09-15,2025-09-15,2025-09-15,Monday,135,48.13,58.01,66.35,40.46,66.30,55.78,1,1,1,1,1,1,Calculated
day,2025-04-23,2025-04-23,2025-04-23,Wednesday,136,41.69,49.14,70.81,70.47,71.77,55.73,1,1,1,1,1,1,Calculated
day,2025-08-20,2025-08-20,2025-08-20,Wednesday,137,51.46,68.38,55.62,47.44,46.56,55.57,1,1,1,1,1,1,Calculated
day,2025-11-16,2025-11-16,2025-11-16,Sunday,138,61.27,67.19,51.76,62.37,28.08,55.57,1,1,1,1,1,1,Calculated
day,2025-03-27,2025-03-27,2025-03-27,Thursday,139,54.74,49.77,63.27,37.01,70.71,55.53,1,1,1,1,1,1,Calculated
day,2025-02-26,2025-02-26,2025-02-26,Wednesday,140,66.56,59.81,49.14,60.53,33.22,55.52,1,1,1,1,1,1,Calculated
day,2025-07-09,2025-07-09,2025-07-09,Wednesday,141,50.05,45.17,54.75,31.33,90.97,55.37,1,1,1,1,1,1,Calculated
day,2025-06-10,2025-06-10,2025-06-10,Tuesday,142,41.13,61.23,56.26,62.76,63.37,55.28,1,1,1,1,1,1,Calculated
day,2025-10-26,2025-10-26,2025-10-26,Sunday,143,50.20,57.66,48.65,40.52,69.63,55.20,1,1,1,1,1,1,Calculated
day,2025-10-15,2025-10-15,2025-10-15,Wednesday,144,60.17,66.69,78.57,26.02,32.97,55.11,1,1,1,1,1,1,Calculated
day,2025-03-24,2025-03-24,2025-03-24,Monday,145,42.97,69.77,49.87,71.33,45.29,55.00,1,1,1,1,1,1,Calculated
day,2025-02-11,2025-02-11,2025-02-11,Tuesday,146,65.26,71.52,49.24,17.60,36.40,55.00,1,1,1,1,1,1,Calculated
day,2025-09-26,2025-09-26,2025-09-26,Friday,147,52.22,71.79,37.44,39.53,50.46,54.99,1,1,1,1,1,1,Calculated
day,2025-12-20,2025-12-20,2025-12-20,Saturday,148,64.68,53.48,55.48,67.45,36.18,54.98,1,1,1,1,1,1,Calculated
day,2025-01-27,2025-01-27,2025-01-27,Monday,149,62.22,72.47,67.70,46.01,15.88,54.95,1,1,1,1,1,1,Calculated
day,2025-03-14,2025-03-14,2025-03-14,Friday,150,65.26,52.48,50.38,57.62,43.51,54.82,1,1,1,1,1,1,Calculated
day,2025-08-15,2025-08-15,2025-08-15,Friday,151,46.26,52.25,74.67,66.98,55.01,54.72,1,1,1,1,1,1,Calculated
day,2025-09-08,2025-09-08,2025-09-08,Monday,152,53.96,62.31,48.77,48.20,50.23,54.62,1,1,1,1,1,1,Calculated
day,2025-11-20,2025-11-20,2025-11-20,Thursday,153,66.31,69.66,53.09,49.52,16.74,54.40,1,1,1,1,1,1,Calculated
day,2025-12-04,2025-12-04,2025-12-04,Thursday,154,59.86,73.70,79.61,38.81,12.44,54.40,1,1,1,1,1,1,Calculated
day,2025-09-04,2025-09-04,2025-09-04,Thursday,155,47.40,60.87,54.76,54.32,55.01,54.39,1,1,1,1,1,1,Calculated
day,2025-05-12,2025-05-12,2025-05-12,Monday,156,50.59,53.37,47.36,43.47,70.55,54.38,1,1,1,1,1,1,Calculated
day,2025-09-16,2025-09-16,2025-09-16,Tuesday,157,49.56,51.73,59.38,56.05,62.07,54.34,1,1,1,1,1,1,Calculated
day,2025-10-28,2025-10-28,2025-10-28,Tuesday,158,50.99,72.76,56.91,24.87,44.84,54.27,1,1,1,1,1,1,Calculated
day,2025-02-19,2025-02-19,2025-02-19,Wednesday,159,56.10,67.80,69.10,23.17,38.22,54.04,1,1,1,1,1,1,Calculated
day,2025-09-22,2025-09-22,2025-09-22,Monday,160,55.70,74.22,53.62,2.54,47.16,54.02,1,1,1,1,1,1,Calculated
day,2025-04-02,2025-04-02,2025-04-02,Wednesday,161,49.67,56.69,47.57,35.67,68.54,53.94,1,1,1,1,1,1,Calculated
day,2025-03-12,2025-03-12,2025-03-12,Wednesday,162,59.92,55.01,55.50,37.15,50.84,53.91,1,1,1,1,1,1,Calculated
day,2025-10-10,2025-10-10,2025-10-10,Friday,163,63.98,65.10,60.41,46.82,21.61,53.77,1,1,1,1,1,1,Calculated
day,2025-08-25,2025-08-25,2025-08-25,Monday,164,46.07,44.69,61.83,53.74,74.27,53.64,1,1,1,1,1,1,Calculated
day,2025-04-10,2025-04-10,2025-04-10,Thursday,165,46.89,58.42,57.31,45.02,58.50,53.53,1,1,1,1,1,1,Calculated
day,2025-09-07,2025-09-07,2025-09-07,Sunday,166,34.77,54.73,46.10,64.02,78.18,53.50,1,1,1,1,1,1,Calculated
day,2025-09-13,2025-09-13,2025-09-13,Saturday,167,46.24,61.43,51.34,43.74,58.22,53.46,1,1,1,1,1,1,Calculated
day,2025-09-27,2025-09-27,2025-09-27,Saturday,168,46.31,47.79,78.47,47.25,62.92,53.38,1,1,1,1,1,1,Calculated
day,2025-04-25,2025-04-25,2025-04-25,Friday,169,45.48,73.51,65.50,9.77,50.41,53.31,1,1,1,1,1,1,Calculated
day,2025-10-13,2025-10-13,2025-10-13,Monday,170,59.24,64.69,54.23,25.49,40.65,53.28,1,1,1,1,1,1,Calculated
day,2025-11-22,2025-11-22,2025-11-22,Saturday,171,57.77,58.84,46.96,62.04,35.85,53.05,1,1,1,1,1,1,Calculated
day,2025-09-19,2025-09-19,2025-09-19,Friday,172,61.17,53.70,51.88,52.83,40.53,53.04,1,1,1,1,1,1,Calculated
day,2025-11-28,2025-11-28,2025-11-28,Friday,173,63.25,77.18,39.48,6.15,31.73,53.04,1,1,1,1,1,1,Calculated
day,2025-04-14,2025-04-14,2025-04-14,Monday,174,41.46,49.66,57.66,53.47,72.20,52.89,1,1,1,1,1,1,Calculated
day,2025-02-15,2025-02-15,2025-02-15,Saturday,175,59.90,53.70,64.43,50.89,36.00,52.81,1,1,1,1,1,1,Calculated
day,2025-08-01,2025-08-01,2025-08-01,Friday,176,36.02,41.56,57.04,75.84,80.85,52.73,1,1,1,1,1,1,Calculated
day,2025-10-06,2025-10-06,2025-10-06,Monday,177,57.71,54.15,47.25,28.79,57.81,52.72,1,1,1,1,1,1,Calculated
day,2025-12-14,2025-12-14,2025-12-14,Sunday,178,63.79,61.42,48.05,41.76,30.89,52.72,1,1,1,1,1,1,Calculated
day,2025-03-04,2025-03-04,2025-03-04,Tuesday,179,53.35,61.85,44.87,47.54,43.81,52.56,1,1,1,1,1,1,Calculated
day,2025-12-28,2025-12-28,2025-12-28,Sunday,180,60.30,65.18,63.27,20.88,32.26,52.51,1,1,1,1,1,1,Calculated
day,2025-10-12,2025-10-12,2025-10-12,Sunday,181,48.58,48.91,51.05,38.62,71.32,52.48,1,1,1,1,1,1,Calculated
day,2025-02-18,2025-02-18,2025-02-18,Tuesday,182,53.51,66.41,48.32,50.93,31.83,52.26,1,1,1,1,1,1,Calculated
day,2025-11-13,2025-11-13,2025-11-13,Thursday,183,61.90,67.08,63.43,15.57,28.32,52.26,1,1,1,1,1,1,Calculated
day,2025-12-03,2025-12-03,2025-12-03,Wednesday,184,64.94,81.04,58.83,24.18,0.28,52.15,1,1,1,1,1,1,Calculated
day,2025-09-17,2025-09-17,2025-09-17,Wednesday,185,56.31,56.46,44.35,56.24,40.33,51.96,1,1,1,1,1,1,Calculated
day,2025-11-02,2025-11-02,2025-11-02,Sunday,186,51.83,49.89,43.94,65.45,52.40,51.94,1,1,1,1,1,1,Calculated
day,2025-05-14,2025-05-14,2025-05-14,Wednesday,187,45.33,62.50,35.61,12.52,73.65,51.89,1,1,1,1,1,1,Calculated
day,2025-07-22,2025-07-22,2025-07-22,Tuesday,188,53.36,58.32,53.40,54.27,37.80,51.83,1,1,1,1,1,1,Calculated
day,2025-01-26,2025-01-26,2025-01-26,Sunday,189,66.19,45.13,59.08,52.48,36.21,51.79,1,1,1,1,1,1,Calculated
day,2025-02-08,2025-02-08,2025-02-08,Saturday,190,47.97,66.02,58.17,51.30,32.61,51.67,1,1,1,1,1,1,Calculated
day,2025-07-30,2025-07-30,2025-07-30,Wednesday,191,45.27,65.11,71.14,39.71,37.21,51.64,1,1,1,1,1,1,Calculated
day,2025-07-14,2025-07-14,2025-07-14,Monday,192,45.60,58.78,67.35,52.02,41.85,51.62,1,1,1,1,1,1,Calculated
day,2025-09-21,2025-09-21,2025-09-21,Sunday,193,45.16,34.71,54.41,52.87,84.66,51.62,1,1,1,1,1,1,Calculated
day,2025-04-28,2025-04-28,2025-04-28,Monday,194,39.58,55.95,49.84,76.95,51.24,51.58,1,1,1,1,1,1,Calculated
